Brand,Model,Name,Size,Length (mm),Width (mm),Height (mm),Weight (grams),Shape,Hand compatibility,Hump placement,Front flare,Side curvature,Thumb rest,Ring finger rest,Sensor,Sensor type,Sensor position,DPI,Polling rate (Hz),Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons,Hot-swap switches,Switches,Scroll wheel encoder,Material,Connectivity,Sensor brand,Switches brand,Scroll wheel encoder brand
ATK,F1 V2 Extreme,ATK F1 V2 Extreme,Medium,118.2,62.4,38.8,38.0,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3950 Ultra,Optical,Centered (51%),42000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC
ATK,F1 V2 Ultimate,ATK F1 V2 Ultimate,Medium,118.2,62.4,38.8,39.0,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3950 Ultra,Optical,Centered (51%),42000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical Switches,Gold,Plastic,Wireless,PixArt,ATK,TTC
ATK,F1 V2 Ultra Max,ATK F1 V2 Ultra Max,Medium,118.2,62.4,38.8,54.0,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3395 Ultra,Optical,Centered (51%),30000.0,8000.0,650.0,50.0,2.0,0.0,No,Light Blade,Gold,Plastic,Wireless,PixArt,ATK,TTC
EWEADN,S9 Max,EWEADN S9 Max,Large,127.0,64.8,40.5,57.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3395,Optical,Centered (52%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Sword GM X,Encoder,Plastic,Wireless,PixArt,Kailh,F-Switch
EWEADN,S9+ Ultra,EWEADN S9+ Ultra,Large,127.0,64.8,40.5,56.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3950 Ultra,Optical,Centered (52%),42000.0,8000.0,750.0,50.0,2.0,0.0,No,D2FC-F-7N(100M),Encoder,Plastic,Wireless,PixArt,Omron,F-Switch
EWEADN,S9+ Pro,EWEADN S9+ Pro,Large,127.0,64.8,40.5,56.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3395,Optical,Centered (52%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Sword GM X,Encoder,Plastic,Wireless,PixArt,Kailh,F-Switch
EWEADN,S7 Ultra,EWEADN S7 Ultra,Large,125.5,62.5,39.3,59.0,Symmetrical,Right,Center,Outward - moderate,Flat,No,No,PAW3950 Ultra,Optical,Forward (54%),42000.0,8000.0,750.0,50.0,2.0,0.0,No,D2FC-F-7N(100M),Gold,Plastic,Wireless,PixArt,Omron,TTC
EWEADN,S7 Max,EWEADN S7 Max,Large,125.5,62.5,39.3,58.0,Symmetrical,Right,Center,Outward - moderate,Flat,No,No,PAW3395,Optical,Forward (54%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Transparent Yellow Shell White Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC
EWEADN,S7 Pro,EWEADN S7 Pro,Large,125.5,62.5,39.3,52.0,Symmetrical,Right,Center,Outward - moderate,Flat,No,No,PAW3395,Optical,Forward (54%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Transparent Yellow Shell White Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC
EWEADN,S7,EWEADN S7,Large,125.5,62.5,39.3,52.0,Symmetrical,Right,Center,Outward - moderate,Flat,No,No,PAW3395,Optical,Forward (54%),26000.0,1000.0,650.0,50.0,2.0,0.0,No,Transparent Yellow Shell White Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC
Valkyrie,VK M3 Pro,Valkyrie VK M3 Pro,Medium,118.5,62.5,37.8,40.0,Symmetrical,Right,Center,Outward - slight,Inward,No,No,PAW3950,Optical,Centered (50%),42000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical Switches,Green,Plastic,Wireless,PixArt,Unspecified,F-Switch
Valkyrie,VK M3,Valkyrie VK M3,Medium,118.5,62.5,37.8,40.0,Symmetrical,Right,Center,Outward - slight,Inward,No,No,PAW3395,Optical,Centered (50%),26000.0,1000.0,650.0,50.0,2.0,0.0,No,Transparent Green Shell White Dot,Green,Plastic,Wireless,PixArt,Huano,F-Switch
Rapoo,VT0 Max,Rapoo VT0 Max,Medium,119.0,63.0,38.0,49.0,Symmetrical,Right,Back - moderate,Outward - slight,Inward,No,No,PAW3950,Optical,Centered (51%),45000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,GE 5.0,Plastic,Wireless,PixArt,Rapoo,Kailh
Rapoo,VT0,Rapoo VT0,Medium,119.0,63.0,38.0,49.0,Symmetrical,Right,Back - moderate,Outward - slight,Inward,No,No,PAW3398,Optical,Centered (51%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,D2FC-F-7N(100M),GE 5.0,Plastic,Wireless,PixArt,Omron,Kailh
Pulsar,X2H CrazyLight Mini,Pulsar X2H CrazyLight Mini,Small,115.6,62.0,38.0,39.0,Symmetrical,Right,Back - aggressive,Outward - slight,Inward,No,No,XS-1,Optical,Forward (55%),32000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical Switch,Blue Encoder,Plastic,Wireless,Pulsar,Pulsar,Pulsar
ATK,A9 Ultimate,ATK A9 Ultimate,Large,125.0,64.0,40.0,53.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3950 Ultra,Optical,-,42000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical Switches,Gold,Plastic,Wireless,PixArt,ATK,TTC
ATK,A9 Ultra Max 2.0,ATK A9 Ultra Max 2.0,Large,125.0,64.0,40.0,53.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3395 Ultra,Optical,-,30000.0,8000.0,650.0,50.0,2.0,0.0,No,Light Blade,Gold,Plastic,Wireless,PixArt,ATK,TTC
Glorious,Model D3 Wired,Glorious Model D3 Wired,Medium,121.7,63.7,41.7,57.0,Ergonomic,Right,Back - minimal,Flat,Flat,No,No,BAMF 3.0,Optical,Centered (50%),30000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical Switches,Mechanical Encoder,Plastic,Wired,Glorious,Unspecified,Unspecified
Glorious,Model O3 Wired,Glorious Model O3 Wired,Medium,124.0,61.4,39.8,54.0,Symmetrical,Right,Back - minimal,Flat,Flat,No,No,BAMF 3.0,Optical,Centered (50%),30000.0,8000.0,750.0,50.0,2.0,1.0,No,Optical Switches,Mechanical Encoder,Plastic,Wired,Glorious,Unspecified,Unspecified
Corsair,Sabre v2 Pro,Corsair Sabre v2 Pro,Medium,119.3,62.6,38.2,36.0,Symmetrical,Right,Center,Outward - moderate,Flat,No,No,MARKSMAN S,Optical,Centered (48%),33000.0,8000.0,750.0,50.0,2.0,0.0,No,Transparent Crystal Shell White Dot,Green,Plastic,Wireless,Corsair,Huano,F-Switch
Logitech,G Pro X Superlight 2c,Logitech G Pro X Superlight 2c,Medium,118.4,61.2,38.6,51.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,HERO 2,Optical,Centered (51%),44000.0,8000.0,888.0,88.0,2.0,0.0,No,LIGHTFORCE,Silver,Plastic,Wireless,Logitech,Logitech,TTC
Waizowl,Cloud Ultra,Waizowl Cloud Ultra,Large,126.0,68.0,38.0,59.0,Symmetrical,Right,Center,Flat,Inward,No,No,PAW3950,Optical,Forward (55%),30000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,Silver,Plastic,Wireless,PixArt,RAESHA,TTC
Pulsar,X2 CrazyLight Medium,Pulsar X2 CrazyLight Medium,Medium,120.0,63.0,38.0,39.0,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,XS-1,Optical,Forward (55%),32000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical Switch,Blue Encoder,Plastic,Wireless,Pulsar,Pulsar,Pulsar
Darmoshark,M3 V2,Darmoshark M3 V2,Large,129.6,66.1,39.2,58.0,Symmetrical,Right,Center,Outward - moderate,Inward,No,No,PAW3395,Optical,Centered (50%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Transparent Blue Shell Pink Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC
Pwnage,Symm 3,Pwnage Symm 3,Medium,120.0,62.0,40.8,50.0,Symmetrical,Right,Back - moderate,Outward - slight,Flat,No,No,XERO,Optical,Adjustable (42-59%),36000.0,8000.0,750.0,50.0,2.0,0.0,Yes,Transparent Blue Shell Pink Dot,Mechanical Encoder,Plastic,Wireless,Pwnage,Huano,Unspecified
VGN,Dragonfly F2 Ultra,VGN Dragonfly F2 Ultra,Medium,122.4,65.1,38.3,51.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3950,Optical,Forward (55%),42000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical VGN x Kailh Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC
VGN,Dragonfly F2 Pro Max,VGN Dragonfly F2 Pro Max,Medium,122.4,65.1,38.3,55.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3395,Optical,Forward (55%),36000.0,8000.0,650.0,50.0,2.0,0.0,No,Transparent Pink Shell Pink Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC
MCHOSE,A7X Ultra,MCHOSE A7X Ultra,Large,125.8,63.2,39.8,53.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3950 Ti,Optical,Forward (54%),42000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,Gold,Magnesium (metal),Wireless,PixArt,Omron,TTC
AJAZZ,T520 Max,AJAZZ T520 Max,Medium,118.5,62.0,38.9,63.0,Symmetrical,Right,Center,Outward - moderate,Inward,No,No,PAW3395,Optical,Centered (50%),26000.0,1000.0,650.0,50.0,2.0,0.0,No,Unspecified,Mechanical Encoder,Carbon fiber composite,Wireless,PixArt,TTC,Unspecified
MCHOSE,G3 V2 Pro,MCHOSE G3 V2 Pro,Small,116.5,62.9,38.2,59.0,Symmetrical,Right,Back - moderate,Inward - moderate,Flat,No,No,PAW3395,Optical,Centered (53%),26000.0,1000.0,650.0,50.0,2.0,0.0,,D2FC-F-7N(100M),Silver,Plastic,Wireless,PixArt,Omron,TTC
G-Wolves,Fenrir Pro 8K,G-Wolves Fenrir Pro 8K,Fingertip,81.7,60.2,28.3,18.6,Symmetrical,Right,Back - aggressive,Inward - moderate,Flat,No,No,PAW3950,Optical,Forward (62%),30000.0,8000.0,750.0,50.0,2.0,0.0,No,D2LS-21 (20M),Gold,Plastic,Wireless,PixArt,Omron,TTC
Pulsar,Susanto-X,Pulsar Susanto-X,Medium,118.7,62.3,38.6,50.0,Symmetrical,Right,Center,Flat,Flat,No,No,XS-1,Optical,Centered (52%),32000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical Switch,Blue Encoder,Plastic,Wireless,Pulsar,Pulsar,Pulsar
Dark,Project Novus Pro,Dark Project Novus Pro,Large,125.0,65.0,39.0,48.0,Symmetrical,Right,Back - minimal,Flat,Inward,No,No,PAW3395,Optical,Centered (50%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC
Dark,Project Novus,Dark Project Novus,Large,125.0,65.0,39.0,51.0,Symmetrical,Right,Back - minimal,Flat,Inward,No,No,PAW3395,Optical,Centered (50%),26000.0,2000.0,650.0,50.0,2.0,0.0,No,Transparent Blue Shell Pink Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC
Dark,Project Novus SE,Dark Project Novus SE,Large,125.0,65.0,39.0,48.0,Symmetrical,Right,Back - minimal,Flat,Inward,No,No,PAW3395,Optical,Centered (50%),26000.0,1000.0,650.0,50.0,2.0,0.0,No,Transparent Blue Shell Pink Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC
Dark,Project Nexus Ultra,Dark Project Nexus Ultra,Large,126.0,64.0,40.0,51.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3950,Optical,Centered (53%),30000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC
Dark,Project Nexus,Dark Project Nexus,Large,126.0,64.0,40.0,47.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3395,Optical,Centered (53%),26000.0,2000.0,650.0,50.0,2.0,0.0,No,Transparent Blue Shell Pink Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC
Attack,Shark V5,Attack Shark V5,Medium,121.0,65.0,38.0,53.0,Symmetrical,Right,Back - moderate,Outward - moderate,Inward,No,No,PAW3950 Max,Optical,Forward (54%),42000.0,8000.0,750.0,50.0,2.0,0.0,No,D2FC-F-7N(100M),Mechanical Encoder,Plastic,Wireless,PixArt,Omron,Unspecified
LAMZU,MAYA Champion Edition,LAMZU MAYA Champion Edition,Medium,119.0,62.0,38.0,45.0,Symmetrical,Right,Center,Outward - slight,Inward,No,No,PAW3950,Optical,Forward (54%),30000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,Encoder,Plastic,Wireless,PixArt,Omron,LAMZU
Attack,Shark R11 Ultra,Attack Shark R11 Ultra,Medium,124.0,65.5,38.0,49.0,Symmetrical,Right,Back - minimal,Outward - moderate,Flat,No,No,PAW3950 Max,Optical,Forward (55%),42000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,Encoder,Carbon fiber composite,Wireless,PixArt,Omron,F-Switch
ATK,U2 Mini,ATK U2 Mini,Medium,119.5,63.0,38.5,38.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3950,Optical,Centered (53%),36000.0,8000.0,750.0,50.0,2.0,0.0,No,Transparent Pink Shell Pink Dot,E10A2,Plastic,Wireless,PixArt,Huano,F-Switch
Rapoo,VT2 Max,Rapoo VT2 Max,Large,126.0,63.0,40.0,53.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3950,Optical,Centered (52%),45000.0,8000.0,750.0,50.0,2.0,2.0,No,Optical,Gold,Plastic,Wireless,PixArt,Rapoo,TTC
Rapoo,VT2,Rapoo VT2,Large,126.0,63.0,40.0,53.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3398,Optical,Centered (52%),26000.0,8000.0,650.0,50.0,2.0,2.0,No,D2FC-F-7N(100M),Gold,Plastic,Wireless,PixArt,Omron,TTC
Darmoshark,M2 Air,Darmoshark M2 Air,Small,115.8,60.4,36.1,36.0,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3395,Optical,Forward (54%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Azure Dragon,Gold,Magnesium (metal),Wireless,PixArt,TTC,TTC
Keychron,M4 8K,Keychron M4 8K,Fingertip,86.0,54.0,32.0,35.0,Symmetrical,Right,Back - aggressive,Outward - moderate,Flat,No,No,PAW3950,Optical,Forward (54%),30000.0,8000.0,750.0,50.0,2.0,0.0,No,Transparent Blue Shell Pink Dot,Mechanical Encoder,Plastic,Wireless,PixArt,Huano,Unspecified
Keychron,M2 8K,Keychron M2 8K,Medium,121.5,66.7,40.6,53.0,Ergonomic,Right,Back - minimal,Outward - slight,Flat,No,No,PAW3950,Optical,Centered (52%),30000.0,8000.0,750.0,50.0,2.0,0.0,No,Transparent Blue Shell Pink Dot,Mechanical Encoder,Plastic,Wireless,PixArt,Huano,Unspecified
Keychron,M2 4K,Keychron M2 4K,Medium,121.5,66.7,40.6,53.0,Ergonomic,Right,Back - minimal,Outward - slight,Flat,No,No,PAW3395,Optical,Centered (52%),26000.0,4000.0,650.0,50.0,2.0,0.0,No,Transparent Blue Shell Pink Dot,Mechanical Encoder,Plastic,Wireless,PixArt,Huano,Unspecified
Endgame,Gear XM2w 4k v2,Endgame Gear XM2w 4k v2,Medium,122.0,66.0,38.5,61.5,Symmetrical,Right,Back - moderate,Outward - slight,Inward - aggressive,No,No,PAW3950,Optical,Forward (56%),30000.0,4000.0,750.0,50.0,2.0,0.0,No,GX,Black,Plastic,Wireless,PixArt,Kailh,Kailh
Endgame,Gear XM2 8k v2,Endgame Gear XM2 8k v2,Medium,122.0,66.0,38.5,51.5,Symmetrical,Right,Back - moderate,Outward - slight,Inward - aggressive,No,No,PAW3950,Optical,Forward (56%),30000.0,8000.0,750.0,50.0,2.0,0.0,No,GX,Black,Plastic,Wired,PixArt,Kailh,Kailh
ATK,Duckbill,ATK Duckbill,Small,118.0,62.5,37.4,46.0,Symmetrical,Right,Back - moderate,Outward - slight,Inward,No,No,PAW3950 Ultra,Optical,Centered (53%),42000.0,8000.0,750.0,50.0,2.0,0.0,No,Advanced Optical Switch,Gold,Plastic,Wireless,PixArt,FE,TTC
Incott,039 Pro,Incott 039 Pro,Large,126.9,66.6,39.9,52.0,Symmetrical,Right,Center,Outward - moderate,Inward,No,No,PAW3950ES-KING,Optical,Forward (54%),45000.0,8000.0,750.0,50.0,2.0,0.0,No,x Huano Purple,Gold,Plastic,Wireless,PixArt,Incott,TTC
Incott,39,Incott 039,Large,126.9,66.6,39.9,48.0,Symmetrical,Right,Center,Outward - moderate,Inward,No,No,PAW3395,Optical,Forward (54%),32000.0,1000.0,650.0,50.0,2.0,0.0,No,x Huano Purple,Gold,Plastic,Wireless,PixArt,Incott,TTC
Incott,039 SC,Incott 039 SC,Large,126.9,66.6,39.9,47.0,Symmetrical,Right,Center,Outward - moderate,Inward,No,No,PAW3395,Optical,Forward (54%),32000.0,1000.0,650.0,50.0,2.0,0.0,No,Blue Shell White Dot,Unspecified,Plastic,Wireless,PixArt,Huano,TTC
Incott,029 Pro,Incott 029 Pro,Medium,119.0,62.0,37.6,41.0,Symmetrical,Right,Center,Outward - moderate,Inward,No,No,PAW3950ES-KING,Optical,Centered (53%),45000.0,8000.0,750.0,50.0,2.0,0.0,No,x Huano Purple,Encoder,Plastic,Wireless,PixArt,Incott,F-Switch
Incott,29,Incott 029,Medium,119.0,62.0,37.6,34.0,Symmetrical,Right,Center,Outward - moderate,Inward,No,No,PAW3395,Optical,Centered (53%),32000.0,1000.0,650.0,50.0,2.0,0.0,No,x Huano Purple,Encoder,Plastic,Wireless,PixArt,Incott,F-Switch
